evaluations raw_y
1 24.0000000000
3 26.0000000000
6 28.0000000000
9 30.0000000000
11 32.0000000000
18 34.0000000000
43 36.0000000000
46 38.0000000000
78 40.0000000000
117 42.0000000000
552 44.0000000000
909 46.0000000000
1852 48.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
5 32.0000000000
25 34.0000000000
38 36.0000000000
42 40.0000000000
77 42.0000000000
110 46.0000000000
855 48.0000000000
1292 50.0000000000
5000 48.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
16 32.0000000000
18 34.0000000000
21 36.0000000000
23 38.0000000000
63 40.0000000000
70 42.0000000000
82 44.0000000000
111 46.0000000000
1734 48.0000000000
1992 50.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
8 32.0000000000
10 34.0000000000
13 36.0000000000
23 40.0000000000
37 42.0000000000
217 44.0000000000
1227 46.0000000000
3004 48.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
18 34.0000000000
38 36.0000000000
41 38.0000000000
63 40.0000000000
177 42.0000000000
185 44.0000000000
425 46.0000000000
2571 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
5 30.0000000000
13 32.0000000000
31 34.0000000000
51 36.0000000000
93 38.0000000000
177 40.0000000000
188 42.0000000000
275 44.0000000000
2598 46.0000000000
3289 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
5 32.0000000000
8 34.0000000000
21 36.0000000000
24 38.0000000000
85 40.0000000000
433 42.0000000000
473 44.0000000000
1850 46.0000000000
2037 48.0000000000
2666 50.0000000000
5000 48.0000000000
evaluations raw_y
1 32.0000000000
14 34.0000000000
31 36.0000000000
40 38.0000000000
69 40.0000000000
356 42.0000000000
587 44.0000000000
679 46.0000000000
981 48.0000000000
3158 50.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
16 32.0000000000
37 36.0000000000
51 38.0000000000
132 40.0000000000
133 42.0000000000
515 44.0000000000
676 46.0000000000
1317 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
5 30.0000000000
11 34.0000000000
20 36.0000000000
43 38.0000000000
52 40.0000000000
216 42.0000000000
715 44.0000000000
1359 46.0000000000
1372 48.0000000000
3916 50.0000000000
5000 44.0000000000
evaluations raw_y
1 30.0000000000
34 32.0000000000
50 34.0000000000
74 36.0000000000
85 38.0000000000
107 40.0000000000
312 42.0000000000
439 44.0000000000
831 46.0000000000
1501 48.0000000000
5000 40.0000000000
evaluations raw_y
1 28.0000000000
3 32.0000000000
17 34.0000000000
30 36.0000000000
43 38.0000000000
97 40.0000000000
157 42.0000000000
880 44.0000000000
1065 46.0000000000
1474 48.0000000000
5000 42.0000000000
evaluations raw_y
1 32.0000000000
3 34.0000000000
48 36.0000000000
50 40.0000000000
60 42.0000000000
501 44.0000000000
527 46.0000000000
1418 48.0000000000
3500 50.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
4 22.0000000000
14 24.0000000000
17 26.0000000000
24 28.0000000000
26 30.0000000000
31 32.0000000000
35 34.0000000000
53 36.0000000000
94 38.0000000000
98 40.0000000000
163 42.0000000000
301 44.0000000000
630 46.0000000000
1110 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
11 28.0000000000
13 30.0000000000
14 32.0000000000
17 34.0000000000
35 36.0000000000
60 38.0000000000
83 40.0000000000
122 42.0000000000
191 44.0000000000
207 46.0000000000
369 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
5 30.0000000000
10 32.0000000000
21 34.0000000000
45 36.0000000000
61 38.0000000000
93 40.0000000000
112 42.0000000000
195 44.0000000000
335 46.0000000000
584 48.0000000000
1484 50.0000000000
5000 48.0000000000
evaluations raw_y
1 24.0000000000
2 32.0000000000
7 36.0000000000
23 38.0000000000
25 40.0000000000
53 42.0000000000
86 44.0000000000
186 46.0000000000
2215 48.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
2 34.0000000000
14 36.0000000000
28 38.0000000000
30 40.0000000000
64 42.0000000000
134 44.0000000000
179 46.0000000000
978 48.0000000000
3901 50.0000000000
5000 48.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
5 30.0000000000
7 32.0000000000
13 36.0000000000
43 38.0000000000
48 40.0000000000
62 42.0000000000
218 44.0000000000
550 46.0000000000
719 48.0000000000
1001 50.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
8 30.0000000000
10 32.0000000000
34 34.0000000000
36 36.0000000000
40 38.0000000000
56 40.0000000000
183 42.0000000000
261 44.0000000000
267 46.0000000000
5000 42.0000000000
