evaluations raw_y
1 -524.0000000000
2 -429.0000000000
3 -396.0000000000
4 -329.0000000000
17 -322.0000000000
20 -282.0000000000
21 -248.0000000000
86 -228.0000000000
203 -195.0000000000
308 -188.0000000000
320 -121.0000000000
425 -95.0000000000
696 -94.0000000000
711 -48.0000000000
1895 -30.0000000000
2092 -29.0000000000
2243 -23.0000000000
2681 -9.0000000000
3195 -4.0000000000
4015 -3.0000000000
4350 3.0000000000
5000 -88.0000000000
evaluations raw_y
1 -483.0000000000
3 -342.0000000000
5 -322.0000000000
18 -261.0000000000
71 -255.0000000000
108 -235.0000000000
126 -214.0000000000
204 -194.0000000000
274 -174.0000000000
324 -120.0000000000
670 -67.0000000000
1434 -62.0000000000
1540 -55.0000000000
1635 -48.0000000000
1716 -43.0000000000
1899 -41.0000000000
1906 -14.0000000000
2376 -7.0000000000
4178 -1.0000000000
5000 -49.0000000000
evaluations raw_y
1 -497.0000000000
2 -456.0000000000
3 -416.0000000000
4 -382.0000000000
7 -329.0000000000
8 -214.0000000000
9 -188.0000000000
199 -120.0000000000
485 -75.0000000000
791 -74.0000000000
812 -68.0000000000
864 -67.0000000000
983 -61.0000000000
1035 -30.0000000000
1249 -16.0000000000
1541 -14.0000000000
1970 -8.0000000000
2204 -2.0000000000
3081 -1.0000000000
4171 5.0000000000
5000 -87.0000000000
evaluations raw_y
1 -302.0000000000
3 -262.0000000000
32 -201.0000000000
91 -168.0000000000
199 -148.0000000000
268 -141.0000000000
384 -121.0000000000
697 -55.0000000000
1072 -48.0000000000
1192 -41.0000000000
1237 -28.0000000000
1583 -27.0000000000
1749 -21.0000000000
2340 -3.0000000000
3376 5.0000000000
5000 -81.0000000000
evaluations raw_y
1 -416.0000000000
2 -396.0000000000
10 -329.0000000000
15 -188.0000000000
230 -174.0000000000
314 -168.0000000000
413 -167.0000000000
414 -154.0000000000
434 -141.0000000000
470 -134.0000000000
608 -128.0000000000
702 -107.0000000000
796 -95.0000000000
811 -94.0000000000
904 -54.0000000000
1660 -47.0000000000
1818 -42.0000000000
1940 -35.0000000000
2072 -23.0000000000
2276 -21.0000000000
2446 -10.0000000000
2602 2.0000000000
2844 3.0000000000
2939 4.0000000000
3258 5.0000000000
3621 6.0000000000
5000 -36.0000000000
evaluations raw_y
1 -389.0000000000
5 -349.0000000000
9 -302.0000000000
14 -221.0000000000
233 -174.0000000000
379 -168.0000000000
432 -161.0000000000
463 -147.0000000000
482 -134.0000000000
541 -121.0000000000
601 -94.0000000000
811 -88.0000000000
863 -35.0000000000
1195 -29.0000000000
1263 -27.0000000000
1310 -9.0000000000
2030 -8.0000000000
2328 -7.0000000000
3710 -2.0000000000
4482 5.0000000000
5000 -101.0000000000
evaluations raw_y
1 -477.0000000000
2 -470.0000000000
4 -423.0000000000
5 -362.0000000000
9 -275.0000000000
12 -167.0000000000
209 -155.0000000000
222 -127.0000000000
267 -120.0000000000
315 -80.0000000000
591 -49.0000000000
816 -41.0000000000
1394 -40.0000000000
1523 -9.0000000000
2700 -3.0000000000
3015 5.0000000000
5000 -95.0000000000
evaluations raw_y
1 -483.0000000000
2 -430.0000000000
3 -342.0000000000
15 -336.0000000000
19 -329.0000000000
26 -201.0000000000
209 -188.0000000000
254 -187.0000000000
317 -161.0000000000
454 -115.0000000000
626 -75.0000000000
807 -67.0000000000
884 -55.0000000000
929 -35.0000000000
1504 -29.0000000000
1950 -28.0000000000
2075 -8.0000000000
2631 -4.0000000000
2967 -3.0000000000
4753 4.0000000000
5000 -62.0000000000
evaluations raw_y
1 -403.0000000000
2 -355.0000000000
12 -336.0000000000
15 -268.0000000000
33 -255.0000000000
55 -248.0000000000
74 -228.0000000000
224 -181.0000000000
371 -135.0000000000
587 -128.0000000000
668 -108.0000000000
763 -101.0000000000
820 -88.0000000000
1079 -81.0000000000
1198 -55.0000000000
1679 -1.0000000000
4459 4.0000000000
5000 -128.0000000000
evaluations raw_y
1 -363.0000000000
3 -296.0000000000
46 -282.0000000000
57 -241.0000000000
114 -235.0000000000
154 -221.0000000000
289 -215.0000000000
319 -168.0000000000
340 -108.0000000000
749 -67.0000000000
922 -61.0000000000
1134 -16.0000000000
1988 -10.0000000000
2083 -9.0000000000
2316 -8.0000000000
2516 3.0000000000
