evaluations raw_y
1 0.9405568096
2 1.4723203769
7 1.5006002401
9 1.6425755585
13 1.7934002869
41 2.0259319287
54 2.1367521368
85 2.4366471735
259 2.8868360277
407 3.1806615776
463 3.6231884058
602 3.7993920973
2260 4.3252595156
3112 4.5787545788
5000 1.1737089202
evaluations raw_y
1 0.8771929825
2 1.7531556802
33 2.3992322457
45 3.3156498674
759 3.3875338753
2456 3.4626038781
4446 3.7993920973
5000 1.4318442153
evaluations raw_y
1 0.9758001561
3 1.1825922422
5 1.3007284079
9 1.5299877601
12 1.6425755585
28 2.2281639929
44 3.5410764873
4023 3.8940809969
4572 4.2087542088
5000 3.5410764873
evaluations raw_y
1 0.9405568096
7 1.2899896801
21 1.8355359765
27 2.6881720430
91 3.5410764873
1734 3.7091988131
2236 3.7993920973
2468 4.3252595156
5000 1.8573551263
evaluations raw_y
1 0.8394895903
2 0.8626639061
5 1.0407993339
6 1.4060742407
9 1.6778523490
15 1.7934002869
44 2.2281639929
47 2.3629489603
115 2.3992322457
131 2.4366471735
182 2.4752475248
224 2.5562372188
374 3.0562347188
571 3.1172069825
713 3.3156498674
776 3.5410764873
945 3.7993920973
992 5.5555555556
5000 3.8940809969
evaluations raw_y
1 1.0841283608
3 1.2588116818
5 1.3340448239
9 1.9025875190
41 2.1079258010
45 2.1968365554
94 2.3277467412
264 2.4752475248
265 2.5562372188
301 2.6427061311
429 2.6881720430
541 2.7839643653
642 2.8344671202
937 2.9411764706
1073 3.0562347188
1560 3.1172069825
1625 3.2467532468
1636 3.3156498674
1888 3.4626038781
2090 3.6231884058
2159 3.7091988131
2330 3.7993920973
2974 4.3252595156
3053 5.0200803213
4251 5.1867219917
5000 2.2281639929
evaluations raw_y
1 1.0008006405
3 1.2588116818
8 1.5151515152
25 1.7146776406
43 1.8796992481
77 2.0000000000
124 2.0798668885
163 2.5987525988
211 3.1172069825
665 3.7091988131
1574 4.0983606557
2165 4.3252595156
2236 4.4483985765
5000 2.1079258010
evaluations raw_y
1 1.0917030568
3 1.3007284079
8 1.3340448239
9 1.7531556802
15 1.7730496454
46 1.9500780031
53 2.0525451560
56 2.1079258010
84 2.1367521368
109 2.1968365554
125 2.3277467412
136 2.4752475248
178 2.5150905433
188 2.6427061311
445 2.6881720430
610 2.8868360277
659 2.9411764706
796 3.1172069825
1389 3.3156498674
1439 3.3875338753
1495 3.4626038781
2521 3.6231884058
3148 3.7993920973
4564 3.8940809969
4709 4.3252595156
5000 2.1079258010
evaluations raw_y
1 1.1312217195
2 1.1649580615
4 1.4060742407
10 1.5605493134
21 1.8142235123
31 1.8796992481
33 2.0000000000
46 2.5150905433
103 3.3156498674
1503 3.7091988131
2189 3.7993920973
5000 3.5410764873
evaluations raw_y
1 1.3007284079
6 1.5923566879
8 1.7337031900
12 2.0798668885
38 2.2603978300
100 2.4366471735
233 2.4752475248
299 2.5562372188
303 2.5987525988
311 2.8344671202
345 2.8868360277
557 3.1806615776
572 3.2467532468
821 3.6231884058
904 3.7091988131
5000 3.3875338753
evaluations raw_y
1 1.5605493134
3 1.6425755585
13 1.6778523490
22 1.7730496454
33 2.4366471735
40 2.8344671202
148 3.0562347188
304 3.5410764873
552 3.7993920973
586 3.9936102236
1199 4.3252595156
1321 4.4483985765
1719 4.8638132296
5000 2.1968365554
evaluations raw_y
1 1.2195121951
3 1.5451174289
19 1.6425755585
25 1.8142235123
28 1.9260400616
56 1.9500780031
138 2.1079258010
169 2.4366471735
202 2.7352297593
